iter	Passed	Remaining
0	125	125633
1	125	62867
2	126	41913
3	126	31444
4	126	25155
5	126	20970
6	126	17976
7	126	15732
8	127	13987
9	127	12589
10	127	11447
11	127	10495
12	127	9693
13	127	9007
14	128	8410
15	128	7887
16	128	7424
17	128	7011
18	128	6643
19	128	6310
20	128	6008
21	129	5734
22	129	5486
23	129	5257
24	129	5047
25	129	4852
26	129	4673
27	129	4506
28	129	4351
29	130	4206
30	130	4070
31	130	3942
32	130	3823
33	130	3711
34	130	3604
35	130	3504
36	130	3409
37	131	3319
38	131	3234
39	131	3153
40	131	3075
41	131	3003
42	131	2933
43	131	2867
44	132	2803
45	132	2742
46	132	2684
47	132	2628
48	132	2574
49	132	2524
50	132	2474
51	133	2426
52	133	2380
53	133	2336
54	133	2293
55	133	2252
56	133	2213
57	133	2174
58	134	2137
59	134	2102
60	134	2067
61	134	2034
62	134	2001
63	134	1970
64	134	1940
65	135	1910
66	135	1881
67	135	1853
68	135	1826
69	135	1800
70	135	1775
71	136	1756
72	136	1735
73	139	1751
74	140	1729
75	140	1706
76	140	1683
77	140	1662
78	140	1641
79	140	1620
80	141	1600
81	141	1580
82	141	1560
83	141	1541
84	141	1523
85	141	1505
86	141	1488
87	142	1471
88	142	1454
89	142	1438
90	142	1422
91	142	1407
92	142	1392
93	142	1377
94	143	1362
95	143	1348
96	143	1333
97	143	1320
98	143	1306
99	143	1293
100	143	1281
101	144	1268
102	144	1255
103	144	1243
104	144	1231
105	144	1219
106	144	1208
107	144	1196
108	145	1185
109	145	1174
110	145	1164
111	145	1153
112	145	1143
113	145	1133
114	145	1122
115	146	1112
116	146	1103
117	146	1093
118	146	1084
119	146	1075
120	146	1066
121	146	1057
122	147	1048
123	147	1040
124	147	1032
125	147	1024
126	147	1016
127	148	1008
128	148	1000
129	148	992
130	148	985
131	148	977
132	148	969
133	148	962
134	149	955
135	149	948
136	149	941
137	149	935
138	149	928
139	149	921
140	150	914
141	150	908
142	150	901
143	150	895
144	150	888
145	150	882
146	151	876
147	151	870
148	151	864
149	151	858
150	151	852
151	151	847
152	151	841
153	152	835
154	152	829
155	152	824
156	152	819
157	152	813
158	152	808
159	152	803
160	153	797
161	153	792
162	153	787
163	153	783
164	153	778
165	153	773
166	154	768
167	154	763
168	154	759
169	154	754
170	154	750
171	155	746
172	155	741
173	155	737
174	155	732
175	155	728
176	155	724
177	155	719
178	155	715
179	156	711
180	156	707
181	156	703
182	156	698
183	156	694
184	156	690
185	156	686
186	157	682
187	157	679
188	157	675
189	157	671
190	157	667
191	157	664
192	157	660
193	158	656
194	158	653
195	158	649
196	158	646
197	158	643
198	159	641
199	159	638
200	159	635
